seed,method,view,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,scenario,compare_to
44,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
44,pooled_conditional,observed,0.3382352941176471,0.4398148148148148,0.17094017094017094,0.3843025248173789,0.007024265644955299,0.10185185185185185,0.16666666666666663,0.0,0.4398148148148148,0.24074074074074076,0.0,steady_m4,steady_m2_r10_k1
44,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
44,regime_conditional,observed,0.31909835343840803,0.5972222222222222,0.09189001044204659,0.534486008978313,0.008939974457215838,0.12962962962962962,0.2129629629629629,0.0,0.5972222222222222,0.34259259259259256,0.0,steady_m4,steady_m2_r10_k1
45,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
45,single_marginal,observed,0.043424154215416705,0.32407407407407407,0.02326554160718905,0.05888835094148297,0.0,0.0,0.05092592592592593,0.0,0.32407407407407407,0.19444444444444448,0.0,steady_m4,steady_m2_r10_k1
45,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
45,pooled_marginal,observed,0.3466860692294218,0.3842592592592593,0.2817623690863127,0.4147033269958564,0.0,0.0,0.21759259259259256,0.0,0.3842592592592593,0.3842592592592592,0.0,steady_m4,steady_m2_r10_k1
45,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
45,regime_marginal,observed,0.4905284896273351,0.6574074074074074,0.2743166232010045,0.6142745883179145,0.0,0.0,0.17129629629629628,0.0,0.6574074074074074,0.6481481481481481,0.0,steady_m4,steady_m2_r10_k1
45,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
45,pooled_conditional,observed,0.3323250655374067,0.5185185185185185,0.14192343604108315,0.4208112599308781,0.010855683269476375,0.1574074074074074,0.25462962962962965,0.0,0.5185185185185185,0.22685185185185186,0.0,steady_m4,steady_m2_r10_k1
45,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
45,regime_conditional,observed,0.270880926302613,0.5740740740740742,0.056934424900705216,0.4908805938405304,0.011494252873563216,0.16666666666666666,0.1527777777777778,0.0,0.5740740740740742,0.25,0.0,steady_m4,steady_m2_r10_k1
46,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
46,single_marginal,observed,0.030077161372122713,0.2314814814814815,0.01608035499155306,0.051084155750349816,0.0,0.0,0.09259259259259262,0.0,0.2314814814814815,0.23148148148148145,0.0,steady_m4,steady_m2_r10_k1
46,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
46,pooled_marginal,observed,0.3601953601953602,0.3472222222222222,0.34395680947405094,0.3857281082261108,0.0,0.0,0.25000000000000006,0.0,0.3472222222222222,0.337962962962963,0.0,steady_m4,steady_m2_r10_k1
46,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
46,regime_marginal,observed,0.5252681646711497,0.6666666666666667,0.3237480509119918,0.6249576059102531,0.0,0.0,0.21759259259259256,0.0,0.6666666666666667,0.6527777777777777,0.0,steady_m4,steady_m2_r10_k1
46,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
46,pooled_conditional,observed,0.33080912863070533,0.4722222222222222,0.12579525737420477,0.35565301914454084,0.009578544061302681,0.1388888888888889,0.28240740740740733,0.0,0.4722222222222222,0.19907407407407404,0.0,steady_m4,steady_m2_r10_k1
46,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
46,regime_conditional,observed,0.3298674821610602,0.5972222222222222,0.10538967359993645,0.5239818369854842,0.007503192848020434,0.10879629629629631,0.21759259259259256,0.0,0.5972222222222222,0.3518518518518518,0.0,steady_m4,steady_m2_r10_k1
42,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_r02,steady_m2_r10_k1
42,single_marginal,observed,-0.052903662168014176,0.03703703703703698,-0.02897092765548632,-0.02689262553160809,0.0009501105583195057,0.02430555555555558,-0.07407407407407407,0.0,0.03703703703703698,0.020833333333333343,0.0,steady_r02,steady_m2_r10_k1
42,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_r02,steady_m2_r10_k1
42,pooled_marginal,observed,-0.053190264569757534,0.011574074074074084,-0.14184002669929915,-0.06638110417532511,0.00012866700977869246,0.003472222222222222,-0.00462962962962965,0.0,0.011574074074074084,0.016203703703703706,0.0,steady_r02,steady_m2_r10_k1
42,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_r02,steady_m2_r10_k1
42,regime_marginal,observed,-0.16479690522243715,-0.041666666666666685,-0.3639737367970311,-0.23399671764798774,-0.00020848821028954852,0.0,-0.03703703703703709,0.0,-0.041666666666666685,-0.041666666666666685,0.0,steady_r02,steady_m2_r10_k1
42,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_r02,steady_m2_r10_k1
