scenario,compare_to,method,view,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count
steady_r20,steady_m2_r10_k1,regime_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r20,steady_m2_r10_k1,regime_conditional,observed,0.05036896468734757,0.018994722593717338,5,0.004629629629629617,0.017088915578973844,5,0.1477567717935186,0.02480911392327057,5,0.10213648871441883,0.026268259983778325,5,0.0017093139937967513,0.0011562651365629752,5,0.0006944444444444461,0.0063709995113531885,5,-0.006481481481481488,0.02671581119676576,5,0.0,0.0,5,0.004629629629629617,0.017088915578973844,5,0.009722222222222233,0.021429234835246527,5,0.0,0.0,5
steady_r20,steady_m2_r10_k1,regime_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r20,steady_m2_r10_k1,regime_marginal,observed,0.060374575794283514,0.02923557525962279,5,0.021296296296296285,0.024628585330130355,5,0.1967443673749508,0.03272493179128606,5,0.14535081819236667,0.03967794085217995,5,-6.385696040868554e-05,0.0003121650684943604,5,0.003935185185185186,0.0024000510825610793,5,0.005555555555555536,0.03218341905822142,5,0.0,0.0,5,0.021296296296296285,0.024628585330130355,5,0.018518518518518507,0.02449769732467215,5,0.0,0.0,5
steady_r20,steady_m2_r10_k1,single_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r20,steady_m2_r10_k1,single_marginal,observed,0.06814295477717115,0.009318404607528103,5,0.01944444444444442,0.06428770450573952,5,0.041861917082641364,0.004998268083848547,5,0.0463989415950357,0.012163769945999284,5,0.0007594417077175563,0.004029959226077099,5,-0.003472222222222232,0.03685574844465428,5,0.0560185185185185,0.06763459501669765,5,0.0,0.0,5,0.01944444444444442,0.06428770450573952,5,0.015277777777777782,0.034899240129137775,5,0.0,0.0,5
switch_d0,steady_m2_r10_k1,pooled_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0012654320987654322,0.0011823445252702445,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d0,steady_m2_r10_k1,pooled_conditional,observed,-0.0019220468159004578,0.01819675472127468,5,0.002777777777777779,0.01521451548625461,5,-0.015649267789757747,0.03749393256695373,5,0.007501074782128964,0.015034950918982593,5,0.0010217113665389524,0.0021286983781332418,5,-0.006481481481481481,0.02671581119676576,5,-0.0037037037037036978,0.0684653196881458,5,0.0,0.0,5,0.002777777777777779,0.01521451548625461,5,0.021296296296296296,0.04399366303038741,5,0.0,0.0,5
switch_d0,steady_m2_r10_k1,pooled_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0015740740740740739,0.0010084141514015153,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d0,steady_m2_r10_k1,pooled_marginal,observed,0.016527337438690382,0.11474937479199722,5,0.013888888888888892,0.09771699499632144,5,0.030354725851230176,0.1404636100110985,5,0.025975343576094368,0.07952360885845122,5,-0.001660280970625798,0.0009002472656367615,5,-0.0004629629629629629,0.004452635199460959,5,-0.011111111111111127,0.14450823615109515,5,0.0,0.0,5,0.013888888888888892,0.09771699499632144,5,0.011111111111111117,0.08932906061276392,5,0.0,0.0,5
switch_d0,steady_m2_r10_k1,regime_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.00021604938271604958,0.0005835700741107729,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d0,steady_m2_r10_k1,regime_conditional,observed,-0.007328173266983107,0.018753174543435842,5,-0.006481481481481477,0.018402413809584992,5,-0.008083812846715088,0.02054365685032301,5,0.0010959457951054464,0.018533290245688235,5,0.00025542784163473767,0.0006141565792359946,5,0.0,0.004330621975432804,5,0.007407407407407418,0.016236738811805707,5,0.0,0.0,5,-0.006481481481481477,0.018402413809584992,5,-0.008333333333333314,0.023697192392721722,5,0.0,0.0,5
switch_d0,steady_m2_r10_k1,regime_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0004320987654320988,0.0012883723126383836,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d0,steady_m2_r10_k1,regime_marginal,observed,0.0017705282630542274,0.02491834850984291,5,-5.551115123125783e-18,0.01964185503295964,5,0.004469834114763482,0.0360717049761756,5,0.0073170719655195945,0.018111195988620283,5,-0.00041507024265644997,0.0012189405599502608,5,-0.0018518518518518517,0.00414086662499961,5,0.0074074074074073955,0.012508570450098417,5,0.0,0.0,5,-5.551115123125783e-18,0.01964185503295964,5,-0.0009259259259259301,0.01947748515552097,5,0.0,0.0,5
switch_d0,steady_m2_r10_k1,single_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.003858024691358042,0.005517919499623806,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d0,steady_m2_r10_k1,single_marginal,observed,0.006762204537840322,0.014572110908177319,5,0.04814814814814814,0.10580501711209414,5,0.0036377268222073183,0.007828012256300405,5,0.00040280941957836837,0.009621408485155592,5,-0.0026819923371647625,0.005228623749898824,5,-0.040277777777777767,0.043999752540144633,5,0.06481481481481483,0.031228559174148244,5,0.0,0.0,5,0.04814814814814814,0.10580501711209414,5,0.03425925925925927,0.05003428180039368,5,0.0,0.0,5
switch_d12,switch_d0,pooled_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d12,switch_d0,pooled_conditional,observed,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
switch_d12,switch_d0,pooled_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d12,switch_d0,pooled_marginal,observed,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5
switch_d12,switch_d0,regime_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.06574074074074074,0.0008452508603474788,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
switch_d12,switch_d0,regime_conditional,observed,-0.1939487301890741,0.031230570150959466,5,0.060185185185185175,0.05186425116298166,5,-0.3408836303943029,0.04074198446569195,5,-0.30961881137648983,0.024733975857511914,5,0.06491060025542784,0.002612483386248614,5,0.05601851851851852,0.045842685166389924,5,-0.02870370370370372,0.01891927476083567,5,0.0,0.0,5,0.060185185185185175,0.05186425116298166,5,0.008333333333333314,0.025017140900196834,5,0.0,0.0,5
switch_d12,switch_d0,regime_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.06944444444444445,0.00309604979131773,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
