seed,method,scenario,regime,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction
44,regime_conditional,observed,transit_smooth,1920,63,39,73,24,1784,0.3482142857142857,0.6190476190476191,0.44571428571428573,0.039310716208939146,0.6077566390840828,0.8095238095238095,63,0.36507936507936506,126,0.045060658578856154,1.0,1.0
44,regime_conditional,observed,transit_rough,1872,46,30,20,16,1806,0.6,0.6521739130434783,0.625,0.01095290251916758,0.60446035596621,0.8478260869565217,46,0.09782608695652174,92,0.01730103806228374,0.975,0.975
44,regime_conditional,clean,all,5760,0,0,65,0,5695,0.0,,0.0,0.011284722222222222,,,0,,0,0.03229166666666667,1.0,1.0
44,regime_conditional,clean,warehouse,1920,0,0,25,0,1895,0.0,,0.0,0.013020833333333334,,,0,,0,0.0375,1.0,1.0
44,regime_conditional,clean,transit_smooth,1920,0,0,29,0,1891,0.0,,0.0,0.015104166666666667,,,0,,0,0.04375,1.0,1.0
44,regime_conditional,clean,transit_rough,1920,0,0,11,0,1909,0.0,,0.0,0.005729166666666666,,,0,,0,0.015625,1.0,1.0
45,single_marginal,observed,all,5646,154,111,2384,43,3108,0.04448897795591182,0.7207792207792207,0.08380520951302378,0.4340859431900947,0.10661057857904425,0.5844155844155844,154,0.33116883116883117,308,0.6840277777777778,0.9934027777777777,0.9802083333333333
45,single_marginal,observed,warehouse,1851,63,39,10,24,1778,0.7959183673469388,0.6190476190476191,0.6964285714285714,0.005592841163310962,0.6908921106517625,0.873015873015873,63,0.0,126,0.01444043321299639,0.9880208333333333,0.9640625
45,single_marginal,observed,transit_smooth,1902,34,20,1062,14,806,0.018484288354898338,0.5882352941176471,0.035842293906810034,0.5685224839400428,0.36821675036348167,0.4117647058823529,34,0.4411764705882353,68,1.0,0.996875,0.990625
45,single_marginal,observed,transit_rough,1893,57,52,1312,5,524,0.03812316715542522,0.9122807017543859,0.07318789584799437,0.7145969498910676,0.10466801775679946,0.3684210526315789,57,0.631578947368421,114,1.0,0.9953125,0.9859375
45,single_marginal,clean,all,5760,0,0,2484,0,3276,0.0,,0.0,0.43125,,,0,,0,0.6708333333333333,1.0,1.0
45,single_marginal,clean,warehouse,1920,0,0,10,0,1910,0.0,,0.0,0.005208333333333333,,,0,,0,0.0125,1.0,1.0
45,single_marginal,clean,transit_smooth,1920,0,0,1096,0,824,0.0,,0.0,0.5708333333333333,,,0,,0,1.0,1.0,1.0
45,single_marginal,clean,transit_rough,1920,0,0,1378,0,542,0.0,,0.0,0.7177083333333333,,,0,,0,1.0,1.0,1.0
45,pooled_marginal,observed,all,5646,154,52,66,102,5426,0.4406779661016949,0.33766233766233766,0.38235294117647056,0.012017479970866714,0.3505808461167925,0.5974025974025974,154,0.00974025974025974,308,0.030671296296296297,0.9934027777777777,0.9802083333333333
45,pooled_marginal,observed,warehouse,1851,63,23,1,40,1787,0.9583333333333334,0.36507936507936506,0.5287356321839081,0.0005592841163310962,0.45344459606922166,0.5873015873015873,63,0.0,126,0.0018050541516245488,0.9880208333333333,0.9640625
45,pooled_marginal,observed,transit_smooth,1902,34,8,4,26,1864,0.6666666666666666,0.23529411764705882,0.34782608695652173,0.0021413276231263384,0.3450049780600843,0.7058823529411765,34,0.0,68,0.006666666666666667,0.996875,0.990625
45,pooled_marginal,observed,transit_rough,1893,57,21,61,36,1775,0.25609756097560976,0.3684210526315789,0.302158273381295,0.0332244008714597,0.3106440444768958,0.543859649122807,57,0.02631578947368421,114,0.08362369337979095,0.9953125,0.9859375
45,pooled_marginal,clean,all,5760,0,0,68,0,5692,0.0,,0.0,0.011805555555555555,,,0,,0,0.030208333333333334,1.0,1.0
45,pooled_marginal,clean,warehouse,1920,0,0,1,0,1919,0.0,,0.0,0.0005208333333333333,,,0,,0,0.0015625,1.0,1.0
45,pooled_marginal,clean,transit_smooth,1920,0,0,4,0,1916,0.0,,0.0,0.0020833333333333333,,,0,,0,0.00625,1.0,1.0
45,pooled_marginal,clean,transit_rough,1920,0,0,63,0,1857,0.0,,0.0,0.0328125,,,0,,0,0.0828125,1.0,1.0
45,regime_marginal,observed,all,5646,154,93,56,61,5436,0.6241610738255033,0.6038961038961039,0.6138613861386139,0.010196649672250545,0.6530032159028232,0.8766233766233766,154,0.00974025974025974,308,0.028356481481481483,0.9934027777777777,0.9802083333333333
45,regime_marginal,observed,warehouse,1851,63,39,10,24,1778,0.7959183673469388,0.6190476190476191,0.6964285714285714,0.005592841163310962,0.6908921106517625,0.873015873015873,63,0.0,126,0.01444043321299639,0.9880208333333333,0.9640625
45,regime_marginal,observed,transit_smooth,1902,34,19,26,15,1842,0.4222222222222222,0.5588235294117647,0.4810126582278481,0.013918629550321198,0.5545868190390731,0.8235294117647058,34,0.029411764705882353,68,0.03833333333333333,0.996875,0.990625
45,regime_marginal,observed,transit_rough,1893,57,35,20,22,1816,0.6363636363636364,0.6140350877192983,0.625,0.010893246187363835,0.6842731997313312,0.9122807017543859,57,0.008771929824561403,114,0.0313588850174216,0.9953125,0.9859375
45,regime_marginal,clean,all,5760,0,0,57,0,5703,0.0,,0.0,0.009895833333333333,,,0,,0,0.027604166666666666,1.0,1.0
45,regime_marginal,clean,warehouse,1920,0,0,10,0,1910,0.0,,0.0,0.005208333333333333,,,0,,0,0.0125,1.0,1.0
45,regime_marginal,clean,transit_smooth,1920,0,0,27,0,1893,0.0,,0.0,0.0140625,,,0,,0,0.040625,1.0,1.0
45,regime_marginal,clean,transit_rough,1920,0,0,20,0,1900,0.0,,0.0,0.010416666666666666,,,0,,0,0.0296875,1.0,1.0
