scenario,method,alpha,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count
steady_m2_r10_k1,regime_conditional,1.0,observed,0.95,0.01863389981249829,5,0.95,0.01863389981249829,5,0.041666666666666664,0.02946278254943948,5,1.4699604743083003,0.2783209376416076,5,1.75,0.2144922946038959,5
steady_m2_r10_k1,regime_marginal,0.2,clean,0.025,0.02282177322938192,5,0.016666666666666666,0.02282177322938192,5,0.016666666666666666,0.03726779962499649,5,4.5,3.5355339059327378,2,8.875,0.18633899812498217,5
steady_m2_r10_k1,regime_marginal,0.2,observed,0.7583333333333334,0.054326686710022096,5,0.7416666666666666,0.05432668671002205,5,0.041666666666666664,0.05892556509887896,5,4.302296181630547,0.5539956434498293,5,5.133333333333334,0.457764798899076,5
steady_m2_r10_k1,regime_marginal,1.0,clean,0.075,0.09033118078616167,5,0.075,0.09033118078616167,5,0.016666666666666666,0.02282177322938192,5,4.377777777777777,1.2226261958647928,3,8.658333333333333,0.4149966532662912,5
steady_m2_r10_k1,regime_marginal,1.0,observed,0.7833333333333333,0.1118033988749895,5,0.7833333333333333,0.1118033988749895,5,0.025,0.02282177322938192,5,2.3888915062592546,0.7847736173015615,5,3.5166666666666666,0.8383184226639528,5
steady_m4,regime_conditional,0.2,clean,0.06666666666666667,0.04750730937913076,5,0.06666666666666667,0.04750730937913076,5,0.008333333333333333,0.018633899812498245,5,6.5,1.9578900207451218,4,8.666666666666668,0.26679684322636904,5
steady_m4,regime_conditional,0.2,observed,1.0,0.0,5,0.9833333333333334,0.022821773229381937,5,0.049999999999999996,0.03486083443891982,5,0.7108695652173913,0.15054009919645514,5,0.85,0.24755751295854914,5
steady_m4,regime_conditional,1.0,clean,0.1,0.037267799624996496,5,0.1,0.037267799624996496,5,0.025,0.02282177322938192,5,4.933333333333334,2.947692129257886,5,8.541666666666668,0.2990145853001523,5
steady_m4,regime_conditional,1.0,observed,1.0,0.0,5,0.9416666666666667,0.022821773229381965,5,0.05833333333333333,0.022821773229381923,5,0.008695652173913044,0.019444069369563388,5,0.4083333333333333,0.2173067468400883,5
steady_m4,regime_marginal,0.2,clean,0.025,0.02282177322938192,5,0.016666666666666666,0.02282177322938192,5,0.016666666666666666,0.03726779962499649,5,4.5,3.5355339059327378,2,8.875,0.18633899812498217,5
steady_m4,regime_marginal,0.2,observed,1.0,0.0,5,0.975,0.03726779962499651,5,0.041666666666666664,0.05892556509887896,5,1.6106719367588933,0.20169062327485252,5,1.7666666666666668,0.391533665361117,5
steady_m4,regime_marginal,1.0,clean,0.075,0.09033118078616167,5,0.075,0.09033118078616167,5,0.016666666666666666,0.02282177322938192,5,4.377777777777777,1.2226261958647928,3,8.658333333333333,0.4149966532662912,5
steady_m4,regime_marginal,1.0,observed,1.0,0.0,5,0.9833333333333334,0.022821773229381885,5,0.041666666666666664,0.041666666666666664,5,0.19710144927536233,0.17589917374357247,5,0.2916666666666667,0.27795133466929867,5
steady_r02,regime_conditional,0.2,clean,0.03333333333333333,0.04564354645876384,5,0.03333333333333333,0.04564354645876384,5,0.016666666666666666,0.03726779962499649,5,1.5,0.7071067811865476,2,3.9166666666666665,0.1178511301977579,5
steady_r02,regime_conditional,0.2,observed,0.8333333333333334,0.13176156917368248,5,0.8166666666666667,0.13693063937629155,5,0.016666666666666666,0.03726779962499649,5,1.8545454545454547,0.4646656781271283,5,2.283333333333333,0.25413251136628173,5
steady_r02,regime_conditional,1.0,clean,0.016666666666666666,0.03726779962499649,5,0.016666666666666666,0.03726779962499649,5,0.016666666666666666,0.03726779962499649,5,2.0,,1,3.9666666666666663,0.07453559924999295,5
