seed,scenario,method,alpha,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,event_channel_count
44,switch_d0,regime_conditional,0.2,clean,0.08333333333333333,0.08333333333333333,0.0,5.0,8.666666666666666,24
44,switch_d0,regime_conditional,0.2,observed,0.9583333333333334,0.9166666666666666,0.08333333333333333,2.272727272727273,2.5833333333333335,24
44,switch_d0,regime_conditional,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,switch_d0,regime_conditional,1.0,observed,0.9583333333333334,0.9583333333333334,0.041666666666666664,1.3478260869565217,1.5416666666666667,24
44,switch_d0,regime_marginal,0.2,clean,0.0,0.0,0.0,,9.0,24
44,switch_d0,regime_marginal,0.2,observed,0.7916666666666666,0.7083333333333334,0.08333333333333333,5.352941176470588,6.041666666666667,24
44,switch_d0,regime_marginal,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,switch_d0,regime_marginal,1.0,observed,0.75,0.75,0.041666666666666664,3.111111111111111,4.083333333333333,24
44,switch_d12,regime_conditional,0.2,clean,0.16666666666666666,0.16666666666666666,0.0,2.0,7.583333333333333,24
44,switch_d12,regime_conditional,0.2,observed,1.0,0.9583333333333334,0.08333333333333333,2.0869565217391304,2.25,24
44,switch_d12,regime_conditional,1.0,clean,0.125,0.125,0.0,0.0,7.75,24
44,switch_d12,regime_conditional,1.0,observed,1.0,1.0,0.041666666666666664,1.2916666666666667,1.2916666666666667,24
44,switch_d12,regime_marginal,0.2,clean,0.16666666666666666,0.16666666666666666,0.041666666666666664,1.5,7.75,24
44,switch_d12,regime_marginal,0.2,observed,0.875,0.7916666666666666,0.125,4.421052631578948,4.75,24
44,switch_d12,regime_marginal,1.0,clean,0.20833333333333334,0.20833333333333334,0.041666666666666664,0.6,7.125,24
44,switch_d12,regime_marginal,1.0,observed,0.7916666666666666,0.7916666666666666,0.08333333333333333,2.3684210526315788,3.125,24
44,switch_d4,regime_conditional,0.2,clean,0.16666666666666666,0.16666666666666666,0.0,2.0,7.583333333333333,24
44,switch_d4,regime_conditional,0.2,observed,1.0,0.9583333333333334,0.08333333333333333,2.217391304347826,2.375,24
44,switch_d4,regime_conditional,1.0,clean,0.125,0.125,0.0,0.0,7.75,24
44,switch_d4,regime_conditional,1.0,observed,1.0,1.0,0.041666666666666664,1.2916666666666667,1.2916666666666667,24
44,switch_d4,regime_marginal,0.2,clean,0.125,0.125,0.0,0.6666666666666666,7.833333333333333,24
44,switch_d4,regime_marginal,0.2,observed,0.875,0.7916666666666666,0.08333333333333333,4.421052631578948,4.75,24
44,switch_d4,regime_marginal,1.0,clean,0.20833333333333334,0.20833333333333334,0.0,0.6,7.125,24
44,switch_d4,regime_marginal,1.0,observed,0.7916666666666666,0.7916666666666666,0.041666666666666664,2.3684210526315788,3.125,24
45,steady_k2,regime_conditional,0.2,clean,0.041666666666666664,0.041666666666666664,0.0,7.0,8.791666666666666,48
45,steady_k2,regime_conditional,0.2,observed,0.9583333333333334,0.9583333333333334,0.0,2.4565217391304346,2.6041666666666665,48
