seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,alpha
42,steady_m2_r10_k1,regime_conditional,clean,transit_rough,all,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m2_r10_k1,regime_conditional,clean,transit_rough,stable,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m2_r10_k1,regime_conditional,observed,all,all,0.16708344169484068,0.3333333333333333,0.0224386443319049,0.28242724512324985,0.009578544061302683,0.04398148148148149,0.05092592592592593,0.0,0.3333333333333333,0.2777777777777778,0.0,0.1925925925925926,-4.310344827586206,0.2
42,steady_m2_r10_k1,regime_conditional,observed,all,stable,0.16708344169484068,0.3333333333333333,0.0224386443319049,0.28242724512324985,0.009578544061302683,0.04398148148148149,0.05092592592592593,0.0,0.3333333333333333,0.2777777777777778,0.0,0.1925925925925926,-4.310344827586206,0.2
42,steady_m2_r10_k1,regime_conditional,observed,warehouse,all,0.1540202966432474,0.3194444444444444,0.041997880233174356,0.33489478107999676,0.00957854406130268,0.06944444444444445,0.02777777777777779,0.0,0.3194444444444444,0.2638888888888889,0.0,0.21875,-8.14176245210728,0.2
42,steady_m2_r10_k1,regime_conditional,observed,warehouse,stable,0.1540202966432474,0.3194444444444444,0.041997880233174356,0.33489478107999676,0.00957854406130268,0.06944444444444445,0.02777777777777779,0.0,0.3194444444444444,0.2638888888888889,0.0,0.21875,-8.14176245210728,0.2
42,steady_m2_r10_k1,regime_conditional,observed,transit_smooth,all,0.44580075020662474,0.5277777777777778,0.29333333333333333,0.474718253511661,0.0009578544061302676,0.0,0.08333333333333326,0.0,0.5277777777777778,0.5555555555555556,0.0,0.10714285714285715,-4.789272030651341,0.2
42,steady_m2_r10_k1,regime_conditional,observed,transit_smooth,stable,0.44580075020662474,0.5277777777777778,0.29333333333333333,0.474718253511661,0.0009578544061302676,0.0,0.08333333333333326,0.0,0.5277777777777778,0.5555555555555556,0.0,0.10714285714285715,-4.789272030651341,0.2
42,steady_m2_r10_k1,regime_conditional,observed,transit_rough,all,-0.03673656819225468,0.1527777777777778,-0.16366443643849715,0.0600755879574667,0.018199233716475097,0.0625,0.04166666666666663,0.0,0.1527777777777778,0.01388888888888895,0.0,0.24444444444444446,0.0,0.2
42,steady_m2_r10_k1,regime_conditional,observed,transit_rough,stable,-0.03673656819225468,0.1527777777777778,-0.16366443643849715,0.0600755879574667,0.018199233716475097,0.0625,0.04166666666666663,0.0,0.1527777777777778,0.01388888888888895,0.0,0.24444444444444446,0.0,0.2
42,steady_m4,regime_marginal,clean,all,all,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m4,regime_marginal,clean,all,stable,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m4,regime_marginal,clean,warehouse,all,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
