seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,count1,regime_marginal,observed,transit_smooth,stable,-0.05555555555555555,-0.041666666666666664,-0.08333333333333333,-0.02869156466132801,-0.005208333333333333,0.0625,-0.41666666666666663,0.0,-0.041666666666666664,-0.041666666666666664,0.0,0.0,-8.996212121212121,0.0,0.0,-0.041666666666666664,-0.05555555555555555,0.0,cusum_minus_point
42,count1,regime_marginal,observed,warehouse,all,-0.02884353741496599,0.020833333333333336,-0.05884564767813498,-0.009660458911666663,0.08001893939393939,0.010416666666666666,0.0625,0.0,0.020833333333333336,0.020833333333333336,0.0,0.22916666666666666,-3.3143939393939394,0.0,0.0,0.020833333333333336,-0.02884353741496599,0.0,cusum_minus_point
42,count1,regime_marginal,observed,warehouse,stable,-0.02884353741496599,0.020833333333333336,-0.05884564767813498,-0.009660458911666663,0.08001893939393939,0.010416666666666666,0.0625,0.0,0.020833333333333336,0.020833333333333336,0.0,0.22916666666666666,-3.3143939393939394,0.0,0.0,0.020833333333333336,-0.02884353741496599,0.0,cusum_minus_point
42,count3,regime_conditional,clean,all,all,0.0,,0.0,,-0.0038580246913580245,,,,,,0.0,0.0023148148148148147,-9.41358024691358,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_conditional,clean,all,stable,0.0,,0.0,,-0.0038580246913580245,,,,,,0.0,0.0023148148148148147,-9.41358024691358,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_conditional,clean,transit_rough,all,0.0,,0.0,,-0.009259259259259259,,,,,,0.0,-0.013888888888888888,-9.259259259259258,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_conditional,clean,transit_rough,stable,0.0,,0.0,,-0.009259259259259259,,,,,,0.0,-0.013888888888888888,-9.259259259259258,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_conditional,clean,transit_smooth,all,0.0,,0.0,,0.0023148148148148147,,,,,,0.0,0.006944444444444444,-5.092592592592593,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_conditional,clean,transit_smooth,stable,0.0,,0.0,,0.0023148148148148147,,,,,,0.0,0.006944444444444444,-5.092592592592593,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_conditional,clean,warehouse,all,0.0,,0.0,,-0.004629629629629628,,,,,,0.0,0.013888888888888888,-13.88888888888889,0.0,0.0,,0.0,,cusum_minus_point
