scenario,method,temporal,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
count1,regime_marginal,point,observed,0.4333333333333333,0.10865337342004419,5,0.4333333333333333,0.10865337342004419,5,0.0,0.0,5,5.403333333333333,1.9280963553607882,5,9.2,0.8070866675202166,5,1.0,0.0,5,0.0,0.0,5,0.7666666666666667,0.0672572222933514,5
count3,regime_conditional,cusum,clean,0.0611111111111111,0.03621779114001471,5,0.05,0.030429030972509225,5,0.016666666666666666,0.015214515486254614,5,6.125,1.6520189667999174,4,11.7,0.21819263207395043,5,1.0,0.0,5,0.0,0.0,5,0.975,0.018182719339495838,5
count3,regime_conditional,cusum,observed,0.6444444444444445,0.12789849370245931,5,0.6333333333333333,0.12638125740085918,5,0.02777777777777778,0.019641855032959652,5,5.927149758454107,0.3425726117271849,5,8.133333333333333,0.957709136493673,5,1.0,0.0,5,0.0,0.0,5,0.6777777777777778,0.0798090947078061,5
count3,regime_conditional,ewma,clean,0.10555555555555556,0.05343162239353152,5,0.10555555555555556,0.05343162239353152,5,0.0,0.0,5,5.90952380952381,2.389057632599533,5,11.36111111111111,0.37628381067066863,5,1.0,0.0,5,0.0,0.0,5,0.9467592592592593,0.031356984222555735,5
count3,regime_conditional,ewma,observed,0.7555555555555555,0.09501461875826149,5,0.7555555555555555,0.09501461875826149,5,0.0,0.0,5,4.895402173913044,0.4399097964795892,5,6.622222222222223,0.8178185376315622,5,1.0,0.0,5,0.0,0.0,5,0.5518518518518519,0.0681515448026302,5
count3,regime_conditional,point,clean,0.2,0.04969039949999532,5,0.2,0.04969039949999532,5,0.0,0.0,5,6.925714285714285,1.6253853546222223,5,10.927777777777779,0.6357410374253545,5,1.0,0.0,5,0.0,0.0,5,0.9106481481481481,0.05297841978544627,5
count3,regime_conditional,point,observed,0.5833333333333333,0.08098544298396246,5,0.5833333333333333,0.08098544298396246,5,0.0,0.0,5,4.5045730898974945,0.6523045491453701,5,7.627777777777777,0.7094490124276499,5,1.0,0.0,5,0.0,0.0,5,0.6356481481481482,0.059120751035637464,5
count3,regime_marginal,cusum,clean,0.05,0.023240556292613207,5,0.02777777777777778,0.027777777777777776,5,0.02222222222222222,0.01242259987499883,5,5.5,1.3228756555322954,3,11.811111111111112,0.20355634400623634,5,1.0,0.0,5,0.0,0.0,5,0.9842592592592594,0.01696302866718636,5
count3,regime_marginal,cusum,observed,0.2,0.07453559924999299,5,0.18333333333333332,0.06394924685122966,5,0.016666666666666666,0.015214515486254614,5,6.829761904761905,1.5658699486691494,5,11.127777777777776,0.174138089096194,5,1.0,0.0,5,0.0,0.0,5,0.9273148148148149,0.014511507424682876,5
count3,regime_marginal,ewma,clean,0.05555555555555556,0.034020690871988585,5,0.05555555555555556,0.034020690871988585,5,0.0,0.0,5,6.291666666666667,1.3359349618234497,4,11.694444444444445,0.17568209223157694,5,1.0,0.0,5,0.0,0.0,5,0.974537037037037,0.01464017435263139,5
count3,regime_marginal,ewma,observed,0.3888888888888889,0.07607257743127306,5,0.3888888888888889,0.07607257743127306,5,0.0,0.0,5,6.124049773755656,0.7692598627050772,5,9.716666666666665,0.5563882648246351,5,1.0,0.0,5,0.0,0.0,5,0.8097222222222223,0.046365688735386254,5
count3,regime_marginal,point,clean,0.12777777777777777,0.042127085800286394,5,0.12777777777777777,0.042127085800286394,5,0.005555555555555555,0.01242259987499883,5,5.173333333333334,1.583842023547663,5,11.166666666666668,0.24689428936987676,5,1.0,0.0,5,0.0,0.0,5,0.9305555555555556,0.02057452411415647,5
count3,regime_marginal,point,observed,0.4444444444444445,0.06804138174397718,5,0.4444444444444445,0.06804138174397718,5,0.005555555555555555,0.01242259987499883,5,4.984050624298303,1.0594787649677564,5,8.86111111111111,0.7500000000000001,5,1.0,0.0,5,0.0,0.0,5,0.7384259259259259,0.06250000000000001,5
duration24,regime_conditional,cusum,clean,0.06666666666666667,0.037267799624996496,5,0.05833333333333333,0.02282177322938192,5,0.016666666666666666,0.02282177322938192,5,10.1,5.504543577809154,5,23.158333333333335,0.5097997973060927,5,1.0,0.0,5,0.0,0.0,5,0.9649305555555555,0.021241658221087215,5
